date,store_id,product_id,quantity,unit_price
2026-07-02,S01,P01,6,450
2026-07-04,S02,P01,5,450
2026-07-08,S03,P01,4,450
2026-07-10,S01,P02,8,220
2026-07-12,S02,P02,6,220
2026-07-14,S03,P02,7,220
2026-07-18,S01,P03,12,180
2026-07-21,S02,P03,10,180
2026-07-25,S03,P04,2,95
2026-07-27,S01,P05,1,60
2026-07-29,S02,P06,8,250
2026-07-30,S03,P07,5,350
2026-07-31,S01,P08,1,900
2026-08-02,S01,P01,2,450
2026-08-03,S02,P01,2,450
2026-08-05,S03,P01,1,450
2026-08-06,S01,P02,9,220
2026-08-08,S02,P02,8,220
2026-08-10,S03,P02,7,220
2026-08-11,S01,P03,2,180
2026-08-12,S02,P03,1,180
2026-08-13,S03,P04,1,95
2026-08-15,S01,P05,0,60
2026-08-16,S02,P06,9,250
2026-08-18,S03,P07,6,350
2026-08-20,S01,P08,0,900
2026-08-22,S02,P02,8,220
2026-08-24,S03,P03,1,180
2026-08-26,S01,P04,2,95
2026-08-28,S02,P05,0,60
2026-08-30,S03,P07,5,350
